fulldate,Timestamp,value
2017-12-31 23:00:00,103003901610,65
2018-01-01 00:00:00,139358521680,29
2018-01-01 01:00:00,127240700130,38
2018-01-01 02:00:00,118152344040,30
2018-01-01 03:00:00,131785648620,39
2018-01-01 04:00:00,137845063320,31
2018-01-01 05:00:00,110579277060,30
2018-01-01 06:00:00,127242195420,149
2018-01-01 07:00:00,136331254830,121
2018-01-01 08:00:00,127242808680,110
2018-01-01 09:00:00,112095125730,342
2018-01-01 10:00:00,127243411260,180
2018-01-01 11:00:00,131788133670,273
2018-01-01 12:00:00,134818076490,107
2018-01-01 13:00:00,86344349250,96
2018-01-01 14:00:00,87859381950,96
2018-01-01 15:00:00,95433685710,143
2018-01-01 16:00:00,127245225810,176
2018-01-01 17:00:00,98463811620,124
2018-01-01 18:00:00,115127195040,262
2018-01-01 19:00:00,99979115190,111
2018-01-01 20:00:00,80286466020,129
2018-01-01 21:00:00,125731905570,134
2018-01-01 22:00:00,107554046010,75
2018-01-01 23:00:00,90890965890,40
2018-01-02 00:00:00,119673399330,36
2018-01-02 01:00:00,109069680240,36
2018-01-02 02:00:00,131792830950,37
2018-01-02 03:00:00,86347242180,47
2018-01-02 04:00:00,145427275980,37
2018-01-02 05:00:00,140883003630,40
2018-01-02 06:00:00,119675085300,337
2018-01-02 07:00:00,80288548200,687
2018-01-02 08:00:00,133309592130,189
2018-01-02 09:00:00,128765258370,177
2018-01-02 10:00:00,153003791910,37
2018-01-02 11:00:00,119676520980,402
2018-01-02 12:00:00,133310864400,166
2018-01-02 13:00:00,113617485270,176
2018-01-02 14:00:00,115132666080,104
2018-01-02 15:00:00,121192559670,108
2018-01-02 16:00:00,99984096870,139
2018-01-02 17:00:00,112103652060,123
2018-01-02 18:00:00,109074080820,117
2018-01-02 19:00:00,137857846680,122
2018-01-02 20:00:00,130283562210,181
2018-01-02 21:00:00,160582430910,79
2018-01-02 22:00:00,143918556510,44
2018-01-02 23:00:00,146948765490,29
2018-01-03 00:00:00,137859484200,40
2018-01-03 01:00:00,148464404940,91
2018-01-03 02:00:00,145434888390,52
2018-01-03 03:00:00,146950168020,42
2018-01-03 04:00:00,153010322520,43
2018-01-03 05:00:00,148465825590,145
2018-01-03 06:00:00,145436264610,70
2018-01-03 07:00:00,154526390280,87
2018-01-03 08:00:00,137862100110,93
2018-01-03 09:00:00,137862434460,262
2018-01-03 10:00:00,109078226970,1040
2018-01-03 11:00:00,122713303020,818
2018-01-03 12:00:00,124228568970,82
2018-01-03 13:00:00,134833763430,305
2018-01-03 14:00:00,136349087070,482
2018-01-03 15:00:00,112109480220,50
2018-01-03 16:00:00,103019795310,183
2018-01-03 17:00:00,110595035970,230
2018-01-03 18:00:00,118170319650,346
2018-01-03 19:00:00,84840428610,241
2018-01-03 20:00:00,104535784410,132
2018-01-03 21:00:00,128776260810,58
2018-01-03 22:00:00,116656431450,28
2018-01-03 23:00:00,119686763670,29
2018-01-04 00:00:00,137867336130,29
2018-01-04 01:00:00,116657266620,29
2018-01-04 02:00:00,124232704830,31
2018-01-04 03:00:00,104537529480,46
2018-01-04 04:00:00,110597938350,33
2018-01-04 05:00:00,98477860110,31
2018-01-04 06:00:00,115143597540,59
2018-01-04 07:00:00,96963260220,232
2018-01-04 08:00:00,103023700500,212
2018-01-04 09:00:00,116659491870,122
2018-01-04 10:00:00,112114577400,245
2018-01-04 11:00:00,142416152370,607
2018-01-04 12:00:00,145446614970,375
2018-01-04 13:00:00,146962048890,87
2018-01-04 14:00:00,139387004100,48
2018-01-04 15:00:00,136357176300,38
2018-01-04 16:00:00,125751924990,101
2018-01-04 17:00:00,112116428490,145
2018-01-04 18:00:00,101511074250,216
2018-01-04 19:00:00,106056595170,690
2018-01-04 20:00:00,107571947520,173
2018-01-04 21:00:00,125753426160,82
2018-01-04 22:00:00,104542252920,33
2018-01-04 23:00:00,131814453570,35
2018-01-05 00:00:00,122724091170,33
2018-01-05 01:00:00,113633672310,33
2018-01-05 02:00:00,139390987140,33
2018-01-05 03:00:00,119694708330,56
2018-01-05 04:00:00,112119374490,43
2018-01-05 05:00:00,131816319660,261
2018-01-05 06:00:00,128786370570,132
2018-01-05 07:00:00,142422918930,199
2018-01-05 08:00:00,125756705790,537
2018-01-05 09:00:00,130302435030,614
2018-01-05 10:00:00,127272454620,233
2018-01-05 11:00:00,115151532690,494
2018-01-05 12:00:00,75757765260,133
2018-01-05 13:00:00,87879217020,56
2018-01-05 14:00:00,87879420510,64
2018-01-05 15:00:00,107576809350,94
2018-01-05 16:00:00,109092230820,44
2018-01-05 17:00:00,128789728800,97
2018-01-05 18:00:00,80304381600,188
2018-01-05 19:00:00,75759017940,425
2018-01-05 20:00:00,110608455570,405
2018-01-05 21:00:00,124245387900,114
2018-01-05 22:00:00,71213969100,46
2018-01-05 23:00:00,51516599670,29
2018-01-06 00:00:00,74244776310,39
2018-01-06 01:00:00,25758441660,36
2018-01-06 02:00:00,15152067420,24
2018-01-06 03:00:00,104549467140,50
2018-01-06 04:00:00,109095307350,29
2018-01-06 05:00:00,133339050780,28
2018-01-06 06:00:00,131824168260,55
2018-01-06 07:00:00,131824470960,442
2018-01-06 08:00:00,127279094850,386
2018-01-06 09:00:00,140916497370,475
2018-01-06 10:00:00,134855878650,56
2018-01-06 11:00:00,104551444830,880
2018-01-06 12:00:00,115158378660,747
2018-01-06 13:00:00,110612924250,886
2018-01-06 14:00:00,127280928930,656
2018-01-06 15:00:00,151525262190,722
2018-01-06 16:00:00,130312017450,574
2018-01-06 17:00:00,128797086960,453
2018-01-06 18:00:00,107583698130,134
2018-01-06 19:00:00,136374037920,110
2018-01-06 20:00:00,87885681720,116
2018-01-06 21:00:00,116676118890,131
2018-01-06 22:00:00,103038899130,80
2018-01-06 23:00:00,92432171550,52
2018-01-07 00:00:00,143952071820,29
2018-01-07 01:00:00,103039622670,31
2018-01-07 02:00:00,96978707220,30
2018-01-07 03:00:00,106070711430,40
2018-01-07 04:00:00,122739240630,30
2018-01-07 05:00:00,93948783420,30
2018-01-07 06:00:00,109102079100,159
2018-01-07 07:00:00,134862618000,122
2018-01-07 08:00:00,121225089030,103
2018-01-07 09:00:00,134863238040,93
2018-01-07 10:00:00,121225675350,89
2018-01-07 11:00:00,142440510510,46
2018-01-07 12:00:00,143956196370,125
2018-01-07 13:00:00,160625163750,91
2018-01-07 14:00:00,166686891390,144
2018-01-07 15:00:00,145472543280,195
2018-01-07 16:00:00,154564946700,119
2018-01-07 17:00:00,162142035690,121
2018-01-07 18:00:00,127289380650,117
2018-01-07 19:00:00,151535331780,406
2018-01-07 20:00:00,148504984140,166
2018-01-07 21:00:00,142443900480,158
2018-01-07 22:00:00,162143967870,57
2018-01-07 23:00:00,157598243160,40
2018-01-08 00:00:00,139414178160,34
2018-01-08 01:00:00,160629746670,33
2018-01-08 02:00:00,143960967150,60
2018-01-08 03:00:00,134869007760,48
2018-01-08 04:00:00,153053956860,30
2018-01-08 05:00:00,148508162340,29
2018-01-08 06:00:00,159116266950,60
2018-01-08 07:00:00,163662825210,104
2018-01-08 08:00:00,160632414810,189
2018-01-08 09:00:00,128809313610,93
2018-01-08 10:00:00,116686363560,88
2018-01-08 11:00:00,136386984780,737
2018-01-08 12:00:00,150026042280,104
2018-01-08 13:00:00,137903057400,653
2018-01-08 14:00:00,157603860690,516
2018-01-08 15:00:00,145480830720,149
2018-01-08 16:00:00,150027470100,134
2018-01-08 17:00:00,153058697850,130
2018-01-08 18:00:00,143966434860,254
2018-01-08 19:00:00,145482218880,182
2018-01-08 20:00:00,163667885460,117
2018-01-08 21:00:00,156091035480,129
2018-01-08 22:00:00,136390552530,126
2018-01-08 23:00:00,140937234240,96
2018-01-09 00:00:00,145483946970,57
2018-01-09 01:00:00,130329690120,45
2018-01-09 02:00:00,160639286550,39
2018-01-09 03:00:00,150031387260,48
2018-01-09 04:00:00,150031746150,344
2018-01-09 05:00:00,131846397900,352
2018-01-09 06:00:00,145486029420,236
2018-01-09 07:00:00,157610226990,102
2018-01-09 08:00:00,154579634070,138
2018-01-09 09:00:00,133363133070,201
2018-01-09 10:00:00,107600066280,311
2018-01-09 11:00:00,118208794470,236
2018-01-09 12:00:00,136395100770,92
2018-01-09 13:00:00,151550458680,74
2018-01-09 14:00:00,136395731250,93
2018-01-09 15:00:00,147004647330,89
2018-01-09 16:00:00,124272258600,33
2018-01-09 17:00:00,121241522040,40
2018-01-09 18:00:00,110633157000,33
2018-01-09 19:00:00,115179990090,149
2018-01-09 20:00:00,106087092600,638
2018-01-09 21:00:00,112149464970,288
2018-01-09 22:00:00,110634201570,91
2018-01-09 23:00:00,136398656670,33
2018-01-10 00:00:00,156101053860,30
2018-01-10 01:00:00,145492578660,31
2018-01-10 02:00:00,134884074330,58
2018-01-10 03:00:00,133368851190,55
2018-01-10 04:00:00,127306910640,30
2018-01-10 05:00:00,124276101480,30
2018-01-10 06:00:00,147009876270,125
2018-01-10 07:00:00,145494658170,469
2018-01-10 08:00:00,162166311750,134
2018-01-10 09:00:00,133370741850,484
2018-01-10 10:00:00,131855471670,405
2018-01-10 11:00:00,136402536870,583
2018-01-10 12:00:00,143980794570,419
2018-01-10 13:00:00,122762878140,39
2018-01-10 14:00:00,130341127230,62
2018-01-10 15:00:00,134888245560,88
2018-01-10 16:00:00,156106988400,61
2018-01-10 17:00:00,127310859150,372
2018-01-10 18:00:00,154592122650,166
2018-01-10 19:00:00,140951972040,258
2018-01-10 20:00:00,116702441190,235
2018-01-10 21:00:00,130343291220,179
2018-01-10 22:00:00,151562335110,108
2018-01-10 23:00:00,157625212980,53
2018-01-11 00:00:00,145500534930,35
2018-01-11 01:00:00,147016512510,32
2018-01-11 02:00:00,151563773820,30
2018-01-11 03:00:00,145501574040,51
2018-01-11 04:00:00,159142722750,31
2018-01-11 05:00:00,130345783980,31
2018-01-11 06:00:00,137924328000,52
2018-01-11 07:00:00,133377712050,314
2018-01-11 08:00:00,133378018950,209
2018-01-11 09:00:00,134894019900,144
2018-01-11 10:00:00,150050992380,442
2018-01-11 11:00:00,139441654890,843
2018-01-11 12:00:00,124285261590,254
2018-01-11 13:00:00,165208835010,37
2018-01-11 14:00:00,150052424490,35
2018-01-11 15:00:00,142474351260,88
2018-01-11 16:00:00,154600202160,98
2018-01-11 17:00:00,115192576560,173
2018-01-11 18:00:00,92457401250,214
2018-01-11 19:00:00,107614624350,140
2018-01-11 20:00:00,107614887690,125
2018-01-11 21:00:00,130350737730,118
2018-01-11 22:00:00,104583973860,123
2018-01-11 23:00:00,142477064730,59
2018-01-12 00:00:00,139445970270,44
2018-01-12 01:00:00,109131863880,46
2018-01-12 02:00:00,127320838260,37
2018-01-12 03:00:00,87912235830,70
2018-01-12 04:00:00,124289972430,103
2018-01-12 05:00:00,128837477160,301
2018-01-12 06:00:00,137932191900,129
2018-01-12 07:00:00,87913057080,507
2018-01-12 08:00:00,100039224900,121
2018-01-12 09:00:00,106102447380,33
2018-01-12 10:00:00,127323255990,26
2018-01-12 11:00:00,121260526980,26
2018-01-12 12:00:00,130355372430,239
2018-01-12 13:00:00,133387215450,108
2018-01-12 14:00:00,150060959820,125
2018-01-12 15:00:00,121261679220,72
2018-01-12 16:00:00,77304521550,71
2018-01-12 17:00:00,62146875270,125
2018-01-12 18:00:00,131873028750,118
2018-01-12 19:00:00,125810184600,149
2018-01-12 20:00:00,127326290100,474
2018-01-12 21:00:00,127326575220,544
2018-01-12 22:00:00,122779488000,141
2018-01-12 23:00:00,89432178930,55
2018-01-13 00:00:00,97011401400,33
2018-01-13 01:00:00,87916798380,35
2018-01-13 02:00:00,125812277910,34
2018-01-13 03:00:00,118233522300,63
2018-01-13 04:00:00,93980685360,36
2018-01-13 05:00:00,112170783660,31
2018-01-13 06:00:00,101560275480,43
2018-01-13 07:00:00,100044708240,201
2018-01-13 08:00:00,101560746300,179
2018-01-13 09:00:00,125814368430,119
2018-01-13 10:00:00,74276122680,201
2018-01-13 11:00:00,103077325290,548
2018-01-13 12:00:00,98530022520,159
2018-01-13 13:00:00,115204616610,99
2018-01-13 14:00:00,121268300760,407
2018-01-13 15:00:00,62150169060,645
2018-01-13 16:00:00,53055147480,380
2018-01-13 17:00:00,136427811030,112
2018-01-13 18:00:00,104594907240,114
2018-01-13 19:00:00,107626895670,172
2018-01-13 20:00:00,112174778790,189
2018-01-13 21:00:00,116722673160,189
2018-01-13 22:00:00,122786491950,190
2018-01-13 23:00:00,140977407720,154
2018-01-14 00:00:00,122787082620,116
2018-01-14 01:00:00,103080754080,114
2018-01-14 02:00:00,127335345270,113
2018-01-14 03:00:00,115208437800,133
2018-01-14 04:00:00,118240522530,122
2018-01-14 05:00:00,122788521900,137
2018-01-14 06:00:00,80343301710,172
2018-01-14 07:00:00,121273189380,246
2018-01-14 08:00:00,118241643180,314
2018-01-14 09:00:00,103082716950,161
2018-01-14 10:00:00,125821837080,184
2018-01-14 11:00:00,127338060960,233
2018-01-14 12:00:00,92471918280,99
2018-01-14 13:00:00,113695250400,107
